date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:42:16	51524/51524	---M--	200	added ('OK')	application/font-woff2	etag:%2222520917f01d8d34c0dcc1417c749962b8a47011%22	https://use.typekit.net/af/9b05f3/000000000000000000013365/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/use.typekit.net/af/9b05f3/000000000000000000013365/27/le196	(from https://use.typekit.net/kuv1wkn.css)
02:42:16	61228/61228	---M--	200	added ('OK')	application/font-woff	etag:%2222520917f01d8d34c0dcc1417c749962b8a47011%22	https://use.typekit.net/af/9b05f3/000000000000000000013365/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/use.typekit.net/af/9b05f3/000000000000000000013365/27/de196	(from https://use.typekit.net/kuv1wkn.css)
02:42:16	135532/135532	---M-Z	200	added ('OK')	font/opentype	etag:W/%2222520917f01d8d34c0dcc1417c749962b8a47011%22	https://use.typekit.net/af/9b05f3/000000000000000000013365/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/use.typekit.net/af/9b05f3/000000000000000000013365/27/ae196	(from https://use.typekit.net/kuv1wkn.css)
02:42:16	57500/57500	---M--	200	added ('OK')	application/font-woff2	etag:%228c71903d09dd901d68e476eaeb1bb223941b9348%22	https://use.typekit.net/af/cf3e4e/000000000000000000010095/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/use.typekit.net/af/cf3e4e/000000000000000000010095/27/lfdcc	(from https://use.typekit.net/kuv1wkn.css)
02:42:16	68560/68560	---M--	200	added ('OK')	application/font-woff	etag:%228c71903d09dd901d68e476eaeb1bb223941b9348%22	https://use.typekit.net/af/cf3e4e/000000000000000000010095/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/use.typekit.net/af/cf3e4e/000000000000000000010095/27/dfdcc	(from https://use.typekit.net/kuv1wkn.css)
02:42:17	146952/146952	---M-Z	200	added ('OK')	font/opentype	etag:W/%228c71903d09dd901d68e476eaeb1bb223941b9348%22	https://use.typekit.net/af/cf3e4e/000000000000000000010095/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i4&v=3	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/use.typekit.net/af/cf3e4e/000000000000000000010095/27/afdcc	(from https://use.typekit.net/kuv1wkn.css)
02:42:17	74572/74572	---M--	200	added ('OK')	application/font-woff2	etag:%22a6094d3b0b9610bca7d041a6bb6011aa335d9368%22	https://use.typekit.net/af/ae4f6c/000000000000000000010096/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/use.typekit.net/af/ae4f6c/000000000000000000010096/27/l3eab	(from https://use.typekit.net/kuv1wkn.css)
02:42:17	90424/90424	---M--	200	added ('OK')	application/font-woff	etag:%22a6094d3b0b9610bca7d041a6bb6011aa335d9368%22	https://use.typekit.net/af/ae4f6c/000000000000000000010096/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/use.typekit.net/af/ae4f6c/000000000000000000010096/27/d3eab	(from https://use.typekit.net/kuv1wkn.css)
02:42:18	199832/199832	---M-Z	200	added ('OK')	font/opentype	etag:W/%22a6094d3b0b9610bca7d041a6bb6011aa335d9368%22	https://use.typekit.net/af/ae4f6c/000000000000000000010096/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n3&v=3	C:/My%20Web%20Sites/https___webdesign-croydon.co.uk_/use.typekit.net/af/ae4f6c/000000000000000000010096/27/a3eab	(from https://use.typekit.net/kuv1wkn.css)
02:42:18	1/1	---M--	200	added ('OK')	text/plain	etag:%2263699d0b-1%22	https://use.typekit.net/robots.txt		(from https://use.typekit.net/kuv1wkn.css)
